"Timestamp","SECTION A: Personal Information 
Gender","Age","Martial status ","Work experience ","Highest Educational Qualification ","Procurement cycles (advert to award) are completed within planned timelines","Contract awards generally achieve value for money.","Completed projects meet specified quality standards.","Competitive, open tendering is the dominant method for project awards."," Variation orders and cost overruns are frequent in SUBEB projects.","Project allocations are sufficient relative to approved work plans.
","
Capital projects are routinely underfunded compared to engineers’ estimates.","Budget shortfalls force scope reductions or phasing of projects.","Allocations cover key inputs (materials, supervision, contingencies) adequately.","Thin allocations discourage capable contractors from bidding.","Funds are released according to the planned cash-flow schedule.","Late fund releases disrupt procurement timelines and contractor mobilization.","Payment delays to contractors increase claims and project costs.","Within-year cash releases are predictable across quarters. ","Delays in cash backing lead to idle time and remobilization on sites.","Actual releases closely match approved budget lines.","Deviations between approved and released funds are common.","Frequent budget revisions mid-year weaken procurement planning.","Suppliers can rely on SUBEB’s payment predictability","Gaps between planned and actual funding reduce bidder confidence.","The state budget is usually approved before the fiscal year begins.","Late budget approval compresses implementation timelines.","Delayed approval triggers emergency or rushed procurement decisions.","Project start-up is postponed due to approval delays.","Approval lags contribute to bunching of procurements late in the year."
"2025/09/30 9:49:29 PM GMT+1","Female","Less than 20 years","Single","1-5 years","B.Sc. /HND","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2025/09/30 10:07:24 PM GMT+1","Male","41-50","Married","6-10 years","Postgraduate","Agree","Agree","Agree","Strongly agree","Not sure","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Not sure","Agree","Agree","Not sure","Agree","Agree","Agree","Not sure","Agree","Agree","Agree","Agree"
"2025/09/30 10:20:46 PM GMT+1","Female","41-50","Married","11-15years","Postgraduate","Agree","Strongly agree","Strongly agree","Not sure","Disagree","Strongly disagree","Agree","Strongly agree","Disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Disagree","Strongly agree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Not sure"
"2025/09/30 10:23:49 PM GMT+1","Male","31-40","Single","11-15years","Postgraduate","Agree","Not sure","Agree","Agree","Agree","Disagree","Agree","Strongly agree","Not sure","Strongly agree","Agree","Strongly agree","Strongly agree","Disagree","Agree","Not sure","Agree","Strongly agree","Not sure","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"2025/09/30 10:49:32 PM GMT+1","Male","41-50","Single","6-10 years","B.Sc. /HND","Strongly agree","Strongly agree","Agree","Not sure","Agree","Agree","Agree","Disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"2025/09/30 10:50:54 PM GMT+1","Male","41-50","Married","11-15years","Postgraduate","Not sure","Not sure","Not sure","Disagree","Disagree","Agree","Disagree","Not sure","Not sure","Disagree","Not sure","Strongly agree","Agree","Not sure","Not sure","Not sure","Disagree","Not sure","Not sure","Notvsure","Disagree","Agree","Agree","Not sure","Agree"
"2025/09/30 10:51:25 PM GMT+1","Female","21-30","Single","1-5 years","B.Sc. /HND","Agree","Agree","Agree","Agree","Agree","Agree","Not sure","Not sure","Not sure","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Not sure","Strongly agree","Agree","Agree","Not sure","Agree","Agree","Agree","Agree"
"2025/09/30 11:02:16 PM GMT+1","Male","41-50","Married","11-15years","B.Sc. /HND","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree"
"2025/09/30 11:05:17 PM GMT+1","Female","31-40","Married","1-5 years","B.Sc. /HND","Strongly agree","Not sure","Not sure","Strongly agree","Not sure","Agree","Disagree","Not sure","Not sure","Strongly agree","Agree","Strongly agree","Strongly agree","Not sure","Not sure","Not sure","Agree","Agree","Strongly disagree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree"
"2025/10/01 12:25:22 AM GMT+1","Male","41-50","Married","20 years and above","Postgraduate","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Not sure","Disagree","Strongly agree","Agree","Strongly agree","Agree","Agree","Not sure","Agree","Agree","Disagree","Not sure","Not sure","Agree","Agree","Not sure","Disagree","Disagree","Disagree"
