Timestamp,"SECTION 1: Bio-Data
Please tick (   ) where appropriate and indicate where necessary.
Level of respondent ",Age,Gender,Martial status,Religion ,Educational Qualifications ,Nature of employment ,Work experience ,Staff,Prompt payment of monthly salaries and wages guarantee my commitment to work and influence my performance.,Shifting allowance received induced my commitment to work as a health worker,"
The hazard allowance available improves employee commitment to health care delivery in the hospital.","

The payment of my call-duty allowance enhance my commitment.",Awareness of the total compensation package collected monthly increase my commitment and performance in the hospital.,I am satisfied with the annually uniform allowance received and it make me to be committed in the hospital.,"
Granting and sponsoring of staff overseas vacation will guarantee our commitment to work.",Granting study leave with pay will make us be more committed to discharge our duties appropriately.,Career training and development opportunities made available to the staff  allow more commitment from us to give the best performance and be committed to the work in hospital.,Good retirement benefit packages that are delivered at the point of exit from the service to the in the hospital staff will motivate health workers to work better  and be committed to caring for the patients.,National Health Insurance Authority (NHIA) prompt  service to health workers influences the level of staff commitment.,"

Regular promotion and prompt implementation will make the staff to have more commitment to work","
Salary collected at the moments at workplace improve my commitment to the hospital.",The total allowances received improve my commitment.,Granting of permission for job training and development of my skills to acquire more knowledge with sponsorship enhance me to be more committed. ,Having regular promotion and prompt implementation increase my commitment to the hospital’s service.,The awareness of retirement benefit packages to the retire staff  increase my commitment in my service year.,The total monthly compensation received as health worker enhance my commitment.,Prompt payment of salary with granting and sponsoring of staff overseas vacation will guarantee our commitment to work.,Approval of study leave with full payment of the program and payment of monthly salary will make us be more committed in discharging our duties appropriately.,Frequent career training and development opportunities with financial benefit  made available to the staff  allow more commitment from us to give the best performance and be committed to the work in hospital.,"Payment of Gratuity immediately after  retirement couple with retirement benefit packages that can be delivered at the point of exit from the service  in the hospital, staff morale to work better  and be committed in rendering care for the patients will boost.",National Health Insurance Authority (NHIA) prompt  service to health workers and reduction in monthly charges on the scheme will  influences the level of staff commitment.,"Regular promotion, prompt implementation and payment will make the health workers to have more commitment to work."
2026/03/20 2:35:58 PM GMT+1,Junior staff,20-29,Female,Single,Christianity,Graduate,Non permanent staff,0-5years,Clinical staff,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree
2026/03/20 3:22:57 PM GMT+1,Senior staff,40-49,Male,Married,Christianity,Masters,Permanent staff,10-20 years,Non clinical staff,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree
2026/03/20 4:01:05 PM GMT+1,Senior staff,40-49,Female,Married,Christianity,Masters,Permanent staff,10-20 years,Non clinical staff,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Disagree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree
2026/03/20 4:15:53 PM GMT+1,Senior staff,40-49,Male,Married,Christianity,Graduate,Permanent staff,6-10 years,Non clinical staff,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree
2026/03/20 4:17:37 PM GMT+1,Senior staff,40-49,Female,Married,Christianity,Graduate,Non permanent staff,10-20 years,Clinical staff,Neutral,Disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree
2026/03/20 4:27:29 PM GMT+1,Management staff,40-49,Male,Married,Christianity,Masters,Permanent staff,10-20 years,Clinical staff,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree
2026/03/20 4:31:37 PM GMT+1,Senior staff,40-49,Female,Married,Christianity,Graduate,Permanent staff,21 and above,Clinical staff,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree
2026/03/20 4:33:28 PM GMT+1,Senior staff,40-49,Female,Married,Christianity,Graduate,Permanent staff,10-20 years,Non clinical staff,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree
2026/03/20 4:34:21 PM GMT+1,Senior staff,40-49,Male,Married,Christianity,Graduate,Permanent staff,10-20 years,Non clinical staff,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree
2026/03/20 4:36:53 PM GMT+1,Management staff,40-49,Female,Widow,Christianity,Graduate,Permanent staff,10-20 years,Non clinical staff,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree
2026/03/20 4:37:52 PM GMT+1,Senior staff,40-49,Male,Married,Christianity,Graduate,Permanent staff,10-20 years,Non clinical staff,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree
2026/03/20 4:39:57 PM GMT+1,Management staff,40-49,Female,Married,Christianity,Graduate,Permanent staff,21 and above,Non clinical staff,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Agree
2026/03/20 4:41:41 PM GMT+1,Management staff,40-49,Female,Widow,Christianity,Masters,Permanent staff,21 and above,Non clinical staff,Neutral,Neutral,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
2026/03/20 4:46:15 PM GMT+1,Senior staff,40-49,Female,Married,Christianity,Masters,Permanent staff,10-20 years,Non clinical staff,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Agree,Strongly Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Disagree,Strongly agree
2026/03/20 4:46:30 PM GMT+1,Senior staff,40-49,Female,Married,Christianity,Graduate,Permanent staff,10-20 years,Non clinical staff,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2026/03/20 4:47:06 PM GMT+1,Junior staff,20-29,Male,Single,Christianity,Graduate,Permanent staff,0-5years,Non clinical staff,Strongly agree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Strongly disagree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Strongly disagree,Neutral,Agree,Disagree,Disagree
