Timestamp,"SECTION A: Personal Information
Gender",Age,Martial status,Highest Educational qualification ,Year of business operation,My business has experienced consistent growth in sales revenue over the past year.,The number of customers patronizing my business has increased significantly in recent times.,My business enjoys strong brand recognition and awareness within Owo metropolis,My business has expanded its customer base beyond its immediate geographical location,A significant portion of my customers return to make repeat purchases,My business regularly posts valuable and relevant content on social media platforms to attract customers.,"The content(image, video ,text)my business shares on social media helps to build trust with my target audiences","
Consistent posting of content has increased customer interest in my business ",My social media content clearly communicate the value of my products\services,"
Social media content marketing helps my business stand out from competitors in Owo","
The business promptly responds to customer comment, message , and inquires on-social media",Interacting with customers on social media has strengthened my relationship with them,"
Customers frequently like, comment on, and share my business posts","
Engaging with customers on social media has encouraged them to rem loyalty",Social media engagement provides valuable feedback that improves my products and services,"
Satisfied customers recommend my business through social media posts and comment",Positive online reviews have attracted have new customers to my business ,Customers trust opinions and about shared by others about my business on social media ,Negative reviews on social media affect customers perfection and patronage,"Shares ,tags and recommendations have increased awareness of my business in Owo "
2026/04/14 8:22:52 AM GMT+1,Male,41-50 years,Married,Postgraduate,Above 10 years,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree
2026/04/14 10:10:03 AM GMT+1,Male,21-30 years,Single,Postgraduate,1-3 years,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree
2026/04/14 10:12:17 AM GMT+1,Female,21-30 years,Single,B.Sc/ HND,Less than a year,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2026/04/21 11:47:09 AM GMT+1,Male,31-40 years,Single,B.Sc/ HND,4-6 years,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree
2026/04/23 12:24:28 PM GMT+1,Female,Less than 20 years,Single,B.Sc/ HND,Less than a year,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2026/04/23 12:26:07 PM GMT+1,Male,21-30 years,Single,B.Sc/ HND,4-6 years,Agree,Agree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Neutral,Neutral
2026/04/23 12:31:32 PM GMT+1,Male,21-30 years,Single,B.Sc/ HND,1-3 years,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2026/04/23 12:37:23 PM GMT+1,Male,21-30 years,Single,B.Sc/ HND,Less than a year,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral
2026/04/23 12:44:34 PM GMT+1,Female,21-30 years,Single,B.Sc/ HND,1-3 years,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree
2026/04/23 12:56:32 PM GMT+1,Female,Less than 20 years,Single,Primary school certificate/ SSCE,Less than a year,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Agree
2026/04/23 1:17:08 PM GMT+1,Female,21-30 years,Single,B.Sc/ HND,1-3 years,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2026/04/23 1:19:05 PM GMT+1,Female,Less than 20 years,Single,Primary school certificate/ SSCE,1-3 years,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree
2026/04/23 1:41:12 PM GMT+1,Female,21-30 years,Divorced/Separated,B.Sc/ HND,7-10 years,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree
2026/04/23 3:30:34 PM GMT+1,Female,21-30 years,Married,B.Sc/ HND,7-10 years,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree
2026/04/23 4:40:46 PM GMT+1,Female,21-30 years,Single,B.Sc/ HND,4-6 years,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree
