Timestamp,"SECTION A: DEMOGRAPHIC 

Gender",Age,Educational Qualification,Years of work experience ,Employees receive recognition when they perform their duties effectively.,Management acknowledges employees' achievements and contributions to the organization.,Recognition from supervisors motivates employees to improve their performance.,Employees who perform well are publicly appreciated or rewarded by management.,Recognition programs in the bank encourage employees to be more productive.,Employees are given opportunities to contribute ideas when decisions are made in the bank.,Management encourages employees to participate in discussions about work-related issues.,Employees feel that their opinions are considered during decision-making processes.,Participation in decision-making increases employees' commitment to the organization.,Allowing employees to participate in decision-making improves organizational performance.,Employees feel confident that their jobs in the Bank are secure,Job security in the bank motivates employees to perform better at work.,Employees are less worried about losing their jobs in the organization.,Stable employment conditions encourage employees to remain committed to the bank.,Job security positively influences employees' productivity in the organization,The bank provides high-quality services to its customers.,Employees in the bank work efficiently to achieve organizational goals.,The bank consistently meets its performance targets and objectives.,Employee motivation contributes to improved service delivery in the bank.,Overall performance in the Bank has improved due to effective employee motivation practices.
2026/04/17 12:23:32 PM GMT+1,Female,26- 35 years,HND/ Bachelor’s degree,1-5 years,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree
2026/04/17 12:41:08 PM GMT+1,Female,18-25 years,HND/ Bachelor’s degree,1-5 years,Agree,Agree,Agree,Undecided,Strongly agree,Agree,Undecided,Undecided,Agree,Agree,Agree,Agree,Disagree,Undecided,Agree,Agree,Agree,Undecided,Agree,Agree
2026/04/17 12:43:47 PM GMT+1,Female,18-25 years,HND/ Bachelor’s degree,1-5 years,Undecided,Undecided,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Undecided,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Agree
2026/04/17 12:49:42 PM GMT+1,Female,46 years and above,Master’s degree,16 years and above,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree
2026/04/17 12:50:04 PM GMT+1,Male,18-25 years,HND/ Bachelor’s degree,1-5 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Undecided,Undecided,Undecided,Strongly agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Undecided,Strongly agree,Strongly agree
2026/04/17 12:51:45 PM GMT+1,Male,36-45 years,HND/ Bachelor’s degree,11-15 years,Agree,Agree,Strongly agree,Disagree,Undecided,Disagree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree
2026/04/17 12:58:52 PM GMT+1,Female,18-25 years,HND/ Bachelor’s degree,1-5 years,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Undecided,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2026/04/17 1:00:32 PM GMT+1,Female,18-25 years,OND/NCE,1-5 years,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Undecided,Disagree,Disagree,Agree,Disagree,Agree,Agree,Strongly disagree,Disagree,Agree
2026/04/17 1:06:52 PM GMT+1,Female,18-25 years,HND/ Bachelor’s degree,1-5 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Undecided,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree
2026/04/17 1:08:06 PM GMT+1,Female,18-25 years,Others,6-10 years,Strongly agree,Undecided,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Undecided
