Timestamp,"SECTION A: DEMOGRAPHIC INFORMATION

Gender",Age,Position in business,Type of business,Years of operation ,My business has active social media accounts,We regularly update our social media pages,We respond promptly to customer messages online,Our social media platforms increase our visibility,Customers easily find our business through social media,My business uses paid advertising on social media,Social media ads help us reach our target customers,Social media advertising increases our sales,We allocate part of our budget to online advertising,Social media advertising gives better results than traditional marketing,We post content regularly on our social media platforms,Our content is engaging and attracts customers,We use images/videos to promote our products/services by,Our content reflects our brand identity clearly,Quality content helps us retain customers,Our business performs better than competitors,We have gained more customers through social media,Our brand is well recognized in the market,Social media has improved our profitability,We maintain strong customer loyalty compared to competitors,
2026/04/22 6:24:13 AM GMT+1,Male,46 and above,Owner,Services,Above 10 years,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,
2026/04/22 10:20:02 AM GMT+1,Female,18-25,Owner,Trading,1-5 years,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,
2026/04/22 10:22:43 AM GMT+1,Female,18-25,Owner,Trading,1-5 years,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,
2026/04/22 10:24:24 AM GMT+1,Female,18-25,Owner,Others,1-5 years,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 10:27:42 AM GMT+1,Female,18-25,Owner,Others,Below 1 year,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,
2026/04/22 10:30:19 AM GMT+1,Male,18-25,Supervisor,Trading,Below 1 year,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,
2026/04/22 10:30:27 AM GMT+1,Male,18-25,Owner,Others,1-5 years,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
2026/04/22 10:35:33 AM GMT+1,Female,36-45,Owner,Others,1-5 years,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,
2026/04/22 10:35:42 AM GMT+1,Female,18-25,Owner,Services,1-5 years,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,
2026/04/22 10:35:52 AM GMT+1,Female,18-25,Owner,Others,Below 1 year,Agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,
